date,f_cap,f_aut,f_pri,f_siz
2024/6/19,44,60,44,39
2024/6/20,35,60,35,38
2024/6/21,33,52,33,55
2024/6/22,64,77,64,55
2024/6/23,35,34,35,67
2024/6/24,60,55,60,54
2024/6/25,46,50,46,59
2024/6/26,57,52,57,60
2024/6/27,48,48,48,43
2024/6/28,43,47,43,40
2024/6/29,84,62,84,79
2024/6/30,47,65,47,74
2024/7/1,35,28,35,49
2024/7/2,47,53,47,53
2024/7/3,46,53,46,48
2024/7/4,47,45,47,34
2024/7/5,41,63,41,48
2024/7/6,72,82,72,62
2024/7/7,54,83,54,56
2024/7/8,48,61,48,34
2024/7/9,52,36,52,44
2024/7/10,42,35,42,46
2024/7/11,38,44,38,43
2024/7/12,48,59,48,50
2024/7/13,69,75,69,60
2024/7/14,61,64,61,55
2024/7/15,55,80,55,54
2024/7/16,43,83,43,71
2024/7/17,44,86,44,61
2024/7/18,39,55,39,48
2024/7/19,49,39,49,30
2024/7/20,56,57,56,59
2024/7/21,53,90,53,49
2024/7/22,36,49,36,48
2024/7/23,34,52,34,54
2024/7/24,29,48,29,52
2024/7/25,63,57,63,42
2024/7/26,36,51,36,38
2024/7/27,50,88,50,47
2024/7/28,45,71,45,76
2024/7/29,41,85,41,60
2024/7/30,38,36,38,40
2024/7/31,34,54,34,41
2024/8/1,32,56,32,39
2024/8/2,32,0,32,44
2024/8/3,49,44,49,59
2024/8/4,55,68,55,57
2024/8/5,37,61,37,55
2024/8/6,38,63,38,50
2024/8/7,45,57,45,26
2024/8/8,27,70,27,44
2024/8/9,32,38,32,44
2024/8/10,48,0,48,59
2024/8/11,36,71,36,54
2024/8/12,54,38,54,52
2024/8/13,40,54,40,41
2024/8/14,44,39,44,39
2024/8/15,60,37,60,37
2024/8/16,54,66,54,45
2024/8/17,45,69,45,40
2024/8/18,40,37,40,62
2024/8/19,58,69,58,39
2024/8/20,41,70,41,52
2024/8/21,43,42,43,37
2024/8/22,50,64,50,45
2024/8/23,31,43,31,42
2024/8/24,35,90,35,53
2024/8/25,73,85,73,56
2024/8/26,33,57,33,51
2024/8/27,44,74,44,46
2024/8/28,47,64,47,40
2024/8/29,47,65,47,50
2024/8/30,38,56,38,58
2024/8/31,50,73,50,71
2024/9/1,56,84,56,65
2024/9/2,52,51,52,47
2024/9/3,50,77,50,51
2024/9/4,56,44,56,51
2024/9/5,39,65,39,48
2024/9/6,43,39,43,52
2024/9/7,62,73,62,65
2024/9/8,76,94,76,59
