date,category,week,season
2025/6/4,75,,
2025/6/5,75,,
2025/6/6,72,,
2025/6/7,71,,
2025/6/8,75,,
2025/6/9,77,,
2025/6/10,75,,
2025/6/11,67,,
2025/6/12,84,,
2025/6/13,60,,
2025/6/14,68,,
2025/6/15,81,,
2025/6/16,69,,
2025/6/17,77,,
2025/6/18,66,,
2025/6/19,63,,
2025/6/20,69,,
2025/6/21,74,,
2025/6/22,71,,
2025/6/23,56,,
2025/6/24,70,,
2025/6/25,61,,
2025/6/26,63,,
2025/6/27,66,,
2025/6/28,72,,
2025/6/29,64,,
2025/6/30,79,,
2025/7/1,75,,
2025/7/2,71,,
2025/7/3,73,,
2025/7/4,60,,
2025/7/5,74,,
2025/7/6,87,,
2025/7/7,79,,
2025/7/8,76,,
2025/7/9,64,,
2025/7/10,74,,
2025/7/11,62,,
2025/7/12,74,,
2025/7/13,72,,
2025/7/14,64,,
2025/7/15,81,,
2025/7/16,72,,
2025/7/17,76,,
2025/7/18,67,,
2025/7/19,70,,
2025/7/20,81,,
2025/7/21,84,,
2025/7/22,76,,
2025/7/23,70,,
2025/7/24,72,,
2025/7/25,77,,
2025/7/26,71,,
2025/7/27,68,,
2025/7/28,66,,
2025/7/29,66,,
2025/7/30,62,,
2025/7/31,79,,
2025/8/1,56,,
2025/8/2,61,,
2025/8/3,76,,
2025/8/4,79,,
2025/8/5,82,,
2025/8/6,66,,
2025/8/7,80,,
2025/8/8,86,,
2025/8/9,65,,
2025/8/10,76,,
2025/8/11,73,,
2025/8/12,73,,
2025/8/13,66,,
2025/8/14,73,,
2025/8/15,71,,
2025/8/16,68,,
2025/8/17,72,,
2025/8/18,74,,
2025/8/19,71,,
2025/8/20,70,,
2025/8/21,67,,
2025/8/22,90,,
2025/8/23,91,,
2025/8/24,79,,
2025/8/25,75,,
2025/8/26,74,,
2025/8/27,74,,
2025/8/28,81,,
2025/8/29,80,,
2025/8/30,81,,
2025/8/31,100,,
2025/9/1,78,,
2025/9/2,74,,
2025/9/3,88,,
2025/9/4,80,,
2025/9/5,83,,
2025/9/6,78,,
2025/9/7,88,,
2025/9/8,71,,
2025/9/9,87,,
2025/9/10,88,,
2025/9/11,78,,
2025/9/12,74,,
2025/9/13,77,,
2025/9/14,82,,
2025/9/15,79,,
2025/9/16,82,,
2025/9/17,77,,
2025/9/18,67,,
2025/9/19,72,,
2025/9/20,71,,
2025/9/21,87,,
2025/9/22,66,,
2025/9/23,95,,
2025/9/24,69,,
2025/9/25,75,,
2025/9/26,63,,
2025/9/27,73,,
2025/9/28,88,,
2025/9/29,79,,
2025/9/30,72,,
2025/10/1,75,,
2025/10/2,79,,
2025/10/3,70,,
2025/10/4,92,,
2025/10/5,85,,
2025/10/6,78,,
2025/10/7,79,,
2025/10/8,76,,
2025/10/9,66,,
2025/10/10,74,,
2025/10/11,67,,
2025/10/12,73,,
2025/10/13,77,,
2025/10/14,70,,
2025/10/15,69,,
2025/10/16,93,,
2025/10/17,82,,
2025/10/18,78,,
2025/10/19,65,,
2025/10/20,72,,
2025/10/21,71,,
2025/10/22,65,,
2025/10/23,75,,
2025/10/24,62,,
2025/10/25,73,,
2025/10/26,83,,
2025/10/27,89,,
2025/10/28,68,,
2025/10/29,65,,
2025/10/30,72,,
2025/10/31,61,,
2025/11/1,55,,
2025/11/2,65,,
2025/11/3,70,,
2025/11/4,71,,
2025/11/5,77,,
2025/11/6,80,,
2025/11/7,69,,
2025/11/8,67,,
2025/11/9,77,,
2025/11/10,72,,
2025/11/11,72,,
2025/11/12,64,,
2025/11/13,73,,
2025/11/14,64,,
2025/11/15,74,,
2025/11/16,77,,
2025/11/17,70,,
2025/11/18,80,,
2025/11/19,65,,
2025/11/20,60,,
2025/11/21,73,,
2025/11/22,81,,
2025/11/23,76,,
2025/11/24,76,,
2025/11/25,73,,
2025/11/26,86,,
2025/11/27,75,,
2025/11/28,79,,
2025/11/29,65,,
2025/11/30,88,,
2025/12/1,72,,
2025/12/2,76,,
2025/12/3,72,,
2025/12/4,73,,
2025/12/5,79,,
2025/12/6,77,,
