date,解像度,サイズ,価格,ズーム性能,week,カテゴリ
2023/9/26,62,61,92,61,,
2023/9/27,69,79,94,48,,
2023/9/28,65,79,73,56,,
2023/9/29,75,64,79,75,,
2023/9/30,55,82,79,68,,
2023/10/1,65,74,75,74,,
2023/10/2,60,62,78,42,,
2023/10/3,63,76,60,44,,
2023/10/4,73,73,79,44,,
2023/10/5,68,61,86,46,,
2023/10/6,60,68,74,57,,
2023/10/7,54,64,81,64,,
2023/10/8,63,89,91,63,,
2023/10/9,62,67,90,66,,
2023/10/10,55,69,63,57,,
2023/10/11,57,77,73,50,,
2023/10/12,62,65,82,37,,
2023/10/13,56,41,66,46,,
2023/10/14,57,90,77,57,,
2023/10/15,50,63,66,74,,
2023/10/16,56,62,76,51,,
2023/10/17,64,78,49,48,,
2023/10/18,64,69,70,39,,
2023/10/19,64,59,78,45,,
2023/10/20,58,66,73,32,,
2023/10/21,60,78,66,64,,
2023/10/22,60,75,60,43,,
2023/10/23,53,66,63,56,,
2023/10/24,67,72,77,48,,
2023/10/25,67,79,63,54,,
2023/10/26,50,64,73,49,,
2023/10/27,61,77,69,39,,
2023/10/28,43,71,76,53,,
2023/10/29,59,68,73,61,,
2023/10/30,59,88,80,39,,
2023/10/31,68,62,71,45,,
2023/11/1,56,66,83,48,,
2023/11/2,70,84,63,35,,
2023/11/3,57,77,70,46,,
2023/11/4,46,88,75,48,,
2023/11/5,47,65,70,57,,
2023/11/6,52,81,77,40,,
2023/11/7,69,64,80,54,,
2023/11/8,57,62,87,50,,
2023/11/9,60,61,72,39,,
2023/11/10,62,57,63,47,,
2023/11/11,52,71,74,44,,
2023/11/12,46,62,79,52,,
2023/11/13,61,46,71,40,,
2023/11/14,60,71,60,40,,
2023/11/15,51,96,56,29,,
2023/11/16,60,50,60,31,,
2023/11/17,43,56,69,33,,
2023/11/18,58,72,67,47,,
2023/11/19,55,62,79,46,,
2023/11/20,58,79,52,44,,
2023/11/21,64,72,60,37,,
2023/11/22,56,77,64,33,,
2023/11/23,63,66,70,55,,
2023/11/24,56,75,83,37,,
2023/11/25,52,45,80,44,,
2023/11/26,60,73,73,55,,
2023/11/27,65,74,76,31,,
2023/11/28,69,81,73,44,,
2023/11/29,62,71,66,43,,
2023/11/30,62,72,65,44,,
2023/12/1,59,61,74,43,,
2023/12/2,43,63,69,52,,
2023/12/3,56,57,80,48,,
2023/12/4,63,75,63,41,,
2023/12/5,64,76,66,45,,
2023/12/6,54,65,61,44,,
2023/12/7,55,57,69,40,,
2023/12/8,47,76,68,39,,
2023/12/9,50,64,71,53,,
2023/12/10,49,69,76,49,,
2023/12/11,63,55,78,31,,
2023/12/12,51,72,69,39,,
2023/12/13,55,78,67,37,,
2023/12/14,61,53,70,31,,
2023/12/15,61,54,59,41,,
2023/12/16,52,61,60,51,,
2023/12/17,51,59,86,43,,
2023/12/18,56,67,64,48,,
2023/12/19,50,62,57,38,,
2023/12/20,45,34,49,33,,
2023/12/21,47,58,48,28,,
2023/12/22,56,58,58,35,,
2023/12/23,55,86,66,45,,
2023/12/24,49,70,62,32,,
2023/12/25,49,66,61,43,,
2023/12/26,56,45,65,37,,
2023/12/27,44,61,54,34,,
2023/12/28,41,29,52,40,,
2023/12/29,52,59,49,32,,
2023/12/30,34,48,68,41,,
2023/12/31,41,53,42,27,,
2024/1/1,42,69,56,45,,
2024/1/2,40,73,84,40,,
2024/1/3,46,56,70,35,,
2024/1/4,42,71,66,32,,
2024/1/5,63,82,58,43,,
2024/1/6,36,68,71,51,,
2024/1/7,44,79,67,39,,
2024/1/8,52,68,74,41,,
2024/1/9,60,69,53,41,,
2024/1/10,52,80,58,33,,
2024/1/11,63,66,59,40,,
2024/1/12,51,80,59,29,,
2024/1/13,44,71,78,41,,
2024/1/14,51,77,64,34,,
2024/1/15,48,79,67,44,,
2024/1/16,52,68,59,47,,
2024/1/17,54,63,53,51,,
2024/1/18,61,59,62,40,,
2024/1/19,46,61,59,48,,
2024/1/20,58,59,57,36,,
2024/1/21,49,95,52,39,,
2024/1/22,46,67,58,40,,
2024/1/23,57,49,61,45,,
2024/1/24,60,59,52,46,,
2024/1/25,56,63,63,31,,
2024/1/26,48,65,54,29,,
2024/1/27,58,56,64,38,,
2024/1/28,47,73,68,43,,
2024/1/29,53,68,59,42,,
2024/1/30,60,70,54,32,,
2024/1/31,56,47,71,45,,
2024/2/1,60,48,77,45,,
2024/2/2,56,64,55,47,,
2024/2/3,45,64,62,45,,
2024/2/4,58,72,71,47,,
2024/2/5,49,69,62,37,,
2024/2/6,57,47,46,35,,
2024/2/7,69,61,59,29,,
2024/2/8,58,72,57,38,,
2024/2/9,46,80,59,44,,
2024/2/10,44,84,74,49,,
2024/2/11,41,62,66,50,,
2024/2/12,52,82,63,43,,
2024/2/13,56,62,49,44,,
2024/2/14,54,71,61,48,,
2024/2/15,62,65,79,42,,
2024/2/16,49,74,57,38,,
2024/2/17,46,65,62,53,,
2024/2/18,58,61,54,51,,
2024/2/19,55,59,69,43,,
2024/2/20,48,97,72,39,,
2024/2/21,57,51,75,45,,
2024/2/22,47,84,57,41,,
2024/2/23,55,71,68,52,,
2024/2/24,47,64,73,64,,
